noteName,url,groupId,navigationGroupId,tabColouringGroupId,userCorrectionGroupId,title,cleanedContent,entities,entitiesInTitle,language,isOpenAtExport,id,parentId
<???>,https://www.artstation.com/artwork/mzEPVY,9,9,<???>,<???>,"Antlers, Rashed Alakroka ✦",,PER[[]] - LOC[[]] - ORG[[]],"PER[[""rashed alakroka""]] - LOC[[]] - ORG[[]]",und,false,4F87A208-96FF-5BEA-94A2-8AD313B3FF30,5B01DD42-B48B-50AA-BF86-65567293399E
<???>,https://www.artstation.com/artwork/PegRoo,10,10,<???>,<???>,"Cross Armor, Mam Ba",,PER[[]] - LOC[[]] - ORG[[]],"PER[[""mam ba""]] - LOC[[]] - ORG[[""cross armor""]]",und,false,D0403301-BB0D-5BB8-818B-0259AE553B9D,<???>
<???>,https://www.artstation.com/artwork/ZexNEG,11,11,<???>,<???>,"Spider-Man 2099 (Fake Cover #11), Carlos Dattoli",,PER[[]] - LOC[[]] - ORG[[]],"PER[[""carlos dattoli""]] - LOC[[]] - ORG[[]]",und,false,13F85587-03CF-50F3-9123-9E57955BDA9C,<???>
<???>,https://www.google.com/search?q=artstation,3,3,<???>,<???>,Artstation,,PER[[]] - LOC[[]] - ORG[[]],PER[[]] - LOC[[]] - ORG[[]],und,false,726C9B5C-D378-5011-A554-6DDF7FF58184,<???>
<???>,https://www.artstation.com/artwork/8wOWzw,12,12,<???>,<???>,"Bloodborne Fan Art, Melan Hollie",,PER[[]] - LOC[[]] - ORG[[]],"PER[[""melan hollie""]] - LOC[[]] - ORG[[]]",und,false,22D88FBE-3A6D-5832-A50D-BDC14F94EBFE,726C9B5C-D378-5011-A554-6DDF7FF58184
<???>,https://www.artstation.com/search?sort_by=relevance&query=bloodborne,3,3,<???>,<???>,Explore,,PER[[]] - LOC[[]] - ORG[[]],PER[[]] - LOC[[]] - ORG[[]],und,false,EBF83E1C-E23A-5C1C-BF80-715485049805,22D88FBE-3A6D-5832-A50D-BDC14F94EBFE
<???>,https://www.artstation.com/search,3,3,<???>,<???>,Explore,,PER[[]] - LOC[[]] - ORG[[]],PER[[]] - LOC[[]] - ORG[[]],und,false,5A3436EC-29CB-54E0-BE95-250A87A303A2,<???>
<???>,https://www.artstation.com/artwork/gJyqwQ,3,3,<???>,<???>,Explore,,PER[[]] - LOC[[]] - ORG[[]],PER[[]] - LOC[[]] - ORG[[]],und,false,544E4768-8FCE-5FAB-B351-79D873B6AED2,5A3436EC-29CB-54E0-BE95-250A87A303A2
<???>,https://www.artstation.com/artwork/xzXO1E,3,3,<???>,<???>,Explore,,PER[[]] - LOC[[]] - ORG[[]],PER[[]] - LOC[[]] - ORG[[]],und,false,35700C31-BACB-58DB-B239-7B4C11EEDABB,5A3436EC-29CB-54E0-BE95-250A87A303A2
<???>,https://www.amazon.fr/,13,13,<???>,<???>,"Livres, Dvd, Jeux Video, Musique, High-Tech, Informatique, Jouets, Vetements, Chaussures, Sport, Bricolage, Maison, Beaute, Puericulture, Epicerie Et Plus Encore",,PER[[]] - LOC[[]] - ORG[[]],"PER[[""maison""]] - LOC[[""informatique""]] - ORG[[""dvd""]]",und,false,EA15380F-B1BD-5C5A-A959-430B0BDC3799,<???>
<???>,https://www.amazon.fr/s?k=shield+tv+pro+2022&sprefix=%2Caps%2C47&ref=nb_sb_ss_recent_1_0_recent,14,14,<???>,<???>,Fr : Shield Tv Pro 2022,Le label Climate Pledge Friendly se sert des certifications de durabilité pour mettre en avant des produits qui soutiennent notre engagement envers la préservation de l’environnement. Le temps presse. En savoir plus,PER[[]] - LOC[[]] - ORG[[]],PER[[]] - LOC[[]] - ORG[[]],fr,false,47019CA6-46C4-5FDE-A7EA-4105BED52D5B,EA15380F-B1BD-5C5A-A959-430B0BDC3799
